,headline,link,category_name,category_link,time_stamp
45,"Henderson lays flowers in tribute to Jota. Video, 00:00:38",https://www.bbc.com/sport/football/videos/cn7d6jv52mvo,Liverpool,https://www.bbc.com/sport/football/teams/liverpool,2025-07-04 12:51:51.055344
46,"Archive: How Jota overcame challenges to play football. Video, 00:02:03",https://www.bbc.com/sport/football/videos/czeyrzeg0k3o,Premier League,https://www.bbc.com/sport/football/premier-league,2025-07-03 12:51:51.055344
47,"Wales will 'show the world who we are' on Euros debut. Video, 00:00:40",https://www.bbc.com/sport/football/videos/cvgwq11rr3do,Wales Women,https://www.bbc.com/sport/football/teams/wales-women,2025-07-04 12:51:51.055344
48,"Everything you need to know about Wafcon 2024. Video, 00:01:18",https://www.bbc.com/sport/football/videos/cm2lz4y4ypmo,Africa Sport,https://www.bbc.com/sport/africa,2025-07-04 12:51:51.055344
49,"'A massive surprise' - Earps recalls England kit U-turn. Video, 00:01:41",https://www.bbc.com/sport/videos/ckg330r57n9o,England Women,https://www.bbc.com/sport/football/teams/england-women,2025-07-04 12:51:51.055344
50,Napoli 'smell blood' & target Premier League's discarded stars,https://www.bbc.com/sport/football/articles/cy5w4qzygzlo,Football,https://www.bbc.com/sport/football,2025-06-19 12:51:51.055344
51,How does Daniel Levy run Tottenham - and would he ever leave?,https://www.bbc.com/sport/football/articles/cr53l53g793o,Tottenham,https://www.bbc.com/sport/football/teams/tottenham-hotspur,2025-02-14 12:51:51.055344
52,When River Plate icon Diaz took over fourth-tier Oxford,https://www.bbc.com/sport/football/articles/ce8dj443v5yo,Oxford Utd,https://www.bbc.com/sport/football/teams/oxford-united,2025-07-07 12:51:51.055344
53,East meets west London - the mentor who changed Chelsea,https://www.bbc.com/sport/football/articles/c134587zl01o,Chelsea,https://www.bbc.com/sport/football/teams/chelsea,2024-08-22 12:51:51.055344
54,The air crash and the underdogs - a triumph for a lost generation,https://www.bbc.com/sport/football/articles/czrgm6grxvlo,Africa Sport,https://www.bbc.com/sport/africa,2024-08-15 12:51:51.055344
55,The rise and fall of North Korea - the sleeping giant of women's football,https://www.bbc.com/sport/football/articles/c4ngy9xjpzro,Women's World Cup,https://www.bbc.com/sport/football/womens-world-cup,2024-08-13 12:51:51.055344
56,Chasing the 'Ghost' - a superstar struck down by lightning,https://www.bbc.com/sport/football/articles/cv2gd3jr387o,FA Cup,https://www.bbc.com/sport/football/fa-cup,2024-07-04 12:51:51.055344
57,Fiorentina reappoint former boss Pioli as head coach,https://www.bbc.com/sport/football/articles/c939e72q9xzo,European Football,https://www.bbc.com/sport/football/european,2025-07-12 12:51:51.055344
