titles,title_hrefs,club1_names,club2_names,timings,aggs,home_scores,away_scores,minutes,postponeds
Internationals,,Kenya,Uganda,11:00,,,,,False
Internationals,,Tanzania,Congo,,,C,C,,True
Internationals,,Tanzania,Senegal,14:00,,,,,False
Finnish Veikkausliiga,https://www.bbc.com/sport/football/finnish-veikkausliiga/table,Mariehamn,Haka,16:00,,,,,False
Japanese J1 League,https://www.bbc.com/sport/football/japanese-j1-league/table,Avispa Fukuoka,Kyoto Sanga,10:00,,,,,False
Serbian Super Liga,https://www.bbc.com/sport/football/serbian-super-liga/table,OFK Beograd,Spartak Subotica,19:00,,,,,False
Swedish Allsvenskan,https://www.bbc.com/sport/football/swedish-allsvenskan/table,Norrköping,Värnamo,18:00,,,,,False
